DateTime,Temperature,Dew Point,Relative Humidity
2016-01-01 00:51:00,42.8,28.22,56.46
2016-01-01 01:51:00,42.8,28.22,56.46
2016-01-01 02:51:00,42.8,26.4,52.42
2016-01-01 03:51:00,42.8,26.4,52.42
2016-01-01 04:51:00,41,28.24,60.51
2016-01-01 05:51:00,41,28.24,60.51
2016-01-01 06:51:00,41,28.24,60.51
2016-01-01 07:51:00,41,26.42,56.19
2016-01-01 08:51:00,39.2,26.44,60.26
2016-01-01 09:51:00,39.2,26.44,60.26
2016-01-01 10:51:00,41,24.6,52.13
2016-01-01 11:51:00,42.8,26.4,52.42
2016-01-01 12:51:00,41,24.6,52.13
2016-01-01 13:51:00,41,24.6,52.13
2016-01-01 14:51:00,39.2,24.62,55.91
2016-01-01 15:51:00,39.2,20.98,48.05
2016-01-01 16:51:00,39.2,19.17,44.49
2016-01-01 17:51:00,39.2,19.17,44.49
2016-01-01 18:51:00,39.2,20.98,48.05
2016-01-01 19:51:00,37.4,21,51.56
2016-01-01 20:51:00,37.4,19.18,47.75
2016-01-01 21:51:00,37.4,19.18,47.75
2016-01-01 22:51:00,35.6,19.18,51.27
2016-01-01 23:51:00,37.4,15.55,40.87
2016-01-02 00:51:00,35.6,15.57,43.88
2016-01-02 01:51:00,35.6,17.37,47.45
2016-01-02 02:51:00,35.6,17.37,47.45
2016-01-02 03:51:00,35.6,19.18,51.27
2016-01-02 04:51:00,35.6,19.18,51.27
2016-01-02 05:51:00,35.6,19.18,51.27
2016-01-02 06:51:00,35.6,19.18,51.27
2016-01-02 07:51:00,35.6,19.18,51.27
2016-01-02 08:51:00,35.6,17.37,47.45
2016-01-02 09:51:00,35.6,17.37,47.45
2016-01-02 10:51:00,37.4,17.37,44.19
2016-01-02 11:51:00,37.4,19.18,47.75
2016-01-02 12:51:00,39.2,19.17,44.49
2016-01-02 13:51:00,39.2,19.17,44.49
2016-01-02 14:51:00,39.2,19.17,44.49
2016-01-02 15:51:00,39.2,19.17,44.49
2016-01-02 16:51:00,41,20.97,44.8
2016-01-02 17:51:00,39.2,19.17,44.49
2016-01-02 18:51:00,37.4,19.18,47.75
2016-01-02 19:51:00,37.4,19.18,47.75
2016-01-02 20:51:00,37.4,19.18,47.75
2016-01-02 21:51:00,37.4,19.18,47.75
2016-01-02 22:51:00,37.4,19.18,47.75
2016-01-02 23:51:00,37.4,21,51.56
2016-01-03 00:51:00,37.4,21,51.56
2016-01-03 01:51:00,37.4,21,51.56
2016-01-03 02:51:00,35.6,21,55.36
2016-01-03 03:51:00,37.4,21,51.56
2016-01-03 04:51:00,37.4,21,51.56
2016-01-03 05:51:00,37.4,22.8,55.64
2016-01-03 06:51:00,37.4,21,51.56
2016-01-03 07:51:00,37.4,22.8,55.64
2016-01-03 08:51:00,41,20.97,44.8
2016-01-03 09:51:00,42.8,20.97,41.8
2016-01-03 10:51:00,44.6,20.97,39.02
2016-01-03 11:51:00,46.4,19.17,33.75
2016-01-03 12:51:00,46.4,20.97,36.44
2016-01-03 13:51:00,44.6,22.77,42.1
2016-01-03 14:51:00,44.6,24.58,45.4
2016-01-03 15:51:00,42.8,20.97,41.8
2016-01-03 16:51:00,42.8,22.78,45.1
2016-01-03 17:51:00,42.8,24.6,48.64
2016-01-03 18:51:00,42.8,22.78,45.1
2016-01-03 19:51:00,39.2,24.62,55.91
2016-01-03 20:51:00,39.2,24.62,55.91
2016-01-03 21:51:00,39.2,24.62,55.91
2016-01-03 22:51:00,39.2,24.62,55.91
2016-01-03 23:51:00,39.2,24.62,55.91
2016-01-04 00:51:00,37.4,24.62,60
2016-01-04 01:51:00,37.4,24.62,60
2016-01-04 02:51:00,37.4,21,51.56
2016-01-04 03:51:00,35.6,19.18,51.27
2016-01-04 04:51:00,35.6,17.37,47.45
2016-01-04 05:51:00,33.8,19.2,55.08
2016-01-04 06:51:00,32,19.22,59.21
2016-01-04 07:51:00,30.2,17.42,58.95
2016-01-04 08:51:00,30.2,17.42,58.95
2016-01-04 09:51:00,30.2,15.6,54.52
2016-01-04 10:51:00,30.2,11.97,46.53
